Match Number,Team id,Batter id,Runs,Balls,Fours,Sixes,Strike Rate,Out/Not
9,7,135,3,7,0,0,42.86,b DJ Willey
9,7,35,0,1,0,0,0.00,b DJ Willey
9,7,36,1,5,0,0,20.00,c Dinesh Karthik b Michael Bracewell
9,7,37,46,33,2,3,139.39,c Dinesh Karthik b HV Patel
9,7,38,0,1,0,0,0.00,c Virat Kohli b KV Sharma
9,7,42,68,29,9,3,234.48,c GJ Maxwell b Mohammed Siraj
9,7,39,0,1,0,0,0.00,Not out
9,7,41,6,2,1,0,300.00,Not out
9,4,90,21,18,3,0,116.67,b SP Narine
9,4,91,23,12,2,2,191.67,b Varun Chakravarthy
9,4,93,19,18,1,1,105.56,c N Rana b Shardul Thakur
9,4,92,5,7,1,0,71.43,b Varun Chakravarthy
9,4,95,0,2,0,0,0.00,b Varun Chakravarthy
9,4,94,1,5,0,0,20.00,c Shardul Thakur b SP Narine
9,4,89,9,8,1,0,112.50,c Varun Chakravarthy b Suyash Sharma
9,4,142,1,5,0,0,20.00,c SP Narine b Suyash Sharma
9,4,118,20,20,2,0,100.00,Not out
9,4,98,1,3,0,0,33.33,c N Rana b Suyash Sharma
9,4,99,17,8,2,1,212.50,c & b Varun Chakravarthy
10,8,122,31,26,3,1,119.23,lbw b KH Pandya
10,8,68,8,7,1,0,114.29,c MP Stoinis b KH Pandya
10,8,67,34,41,4,0,82.93,c A Mishra b YS Thakur
10,8,121,0,1,0,0,0.00,b KH Pandya
10,8,69,3,4,0,0,75.00,st Nicholas Pooran b Ravi Bishnoi
10,8,73,16,28,0,0,57.14,c Deepak Hooda b A Mishra
10,8,123,21,10,1,2,210.00,Not out
10,8,72,4,3,1,0,133.33,c Deepak Hooda b A Mishra
10,8,77,0,0,0,0,0.00,runout (Jaydev Unadkat / Deepak Hooda)
10,8,76,0,0,0,0,0.00,Not out
10,3,51,13,14,2,0,92.86,c Mayank Agarwal b Fazalhaq Farooqi
10,3,45,35,31,4,0,112.90,lbw b Adil Rashid
10,3,47,7,8,0,1,87.50,c & b B Kumar
10,3,50,34,23,4,1,147.83,c Anmolpreet Singh b Umran Malik
10,3,49,10,13,2,0,76.92,Not out
10,3,119,0,1,0,0,0.00,lbw b Adil Rashid
10,3,46,11,6,1,1,183.33,Not out
11,2,79,60,31,11,1,193.55,c & b Mukesh Kumar
11,2,78,79,51,11,1,154.90,c & b Mukesh Kumar
11,2,80,0,4,0,0,0.00,c Anrich Nortje b KL Yadav
11,2,83,7,11,0,0,63.64,b Rovman Powell
11,2,82,39,21,1,4,185.71,Not out
11,2,124,8,3,0,1,266.67,Not out
11,5,58,0,3,0,0,0.00,c SV Samson b Trent Boult
11,5,57,65,55,7,0,118.18,lbw b Yuzvendra Chahal
11,5,127,0,1,0,0,0.00,lbw b Trent Boult
11,5,60,14,12,2,0,116.67,c Yashasvi Jaiswal b Ravichandran Ashwin
11,5,126,38,24,5,0,158.33,b Trent Boult
11,5,62,2,6,0,0,33.33,st SV Samson b Yuzvendra Chahal
11,5,59,2,2,0,0,100.00,c Shimron Hetmyer b Ravichandran Ashwin
11,5,112,7,9,1,0,77.78,c Shimron Hetmyer b Yuzvendra Chahal
11,5,63,3,7,0,0,42.86,Not out
11,5,114,0,1,0,0,0.00,b Sandeep Sharma
11,5,66,1,1,0,0,100.00,Not out
12,10,101,21,13,3,1,161.54,b TU Deshpande
12,10,100,32,21,5,0,152.38,c Dwaine Pretorius b RA Jadeja
12,10,106,12,11,1,0,109.09,c & b RA Jadeja
12,10,102,1,2,0,0,50.00,c MS Dhoni b Mitchell Santner
12,10,104,22,18,2,1,122.22,lbw b RA Jadeja
12,10,110,2,4,0,0,50.00,lbw b Mitchell Santner
12,10,103,31,22,1,2,140.91,c Ajinkya Rahane b TU Deshpande
12,10,128,5,10,0,0,50.00,c RD Gaikwad b Sisanda Magala
12,10,107,18,13,3,0,138.46,Not out
12,10,109,5,6,0,0,83.33,Not out
12,9,21,0,4,0,0,0.00,b JP Behrendorff
12,9,13,40,36,2,1,111.11,Not out
12,9,130,61,27,7,3,225.93,c SA Yadav b Piyush Chawla
12,9,18,28,26,2,1,107.69,b K Kartikeya
12,9,16,20,16,3,0,125.00,Not out
13,1,1,17,17,3,0,100.00,c Narayan Jagadeesan b SP Narine
13,1,2,39,31,5,0,125.81,c UT Yadav b SP Narine
13,1,115,53,38,3,2,139.47,c (sub AS Roy) b SP Narine
13,1,160,14,8,3,0,175.00,b Suyash Sharma
13,1,5,63,24,4,5,262.50,Not out
13,1,116,2,3,0,0,66.67,Not out
13,7,34,15,12,1,1,125.00,c Yash Dayal b M Shami
13,7,134,6,8,1,0,75.00,c A Manohar b Josh Little
13,7,135,83,40,8,5,207.50,c Shubman Gill b Alzarri Joseph
13,7,36,45,29,4,3,155.17,c M Shami b Alzarri Joseph
13,7,37,48,21,1,6,228.57,Not out
13,7,38,1,2,0,0,50.00,c (sub KS Bharat) b Rashid Khan
13,7,39,0,1,0,0,0.00,c (sub J Yadav) b Rashid Khan
13,7,42,0,1,0,0,0.00,lbw b Rashid Khan
13,7,41,5,6,0,0,83.33,Not out
14,6,23,0,1,0,0,0.00,lbw b B Kumar
14,6,24,99,66,12,5,150.00,Not out
14,6,141,1,3,0,0,33.33,lbw b M Jansen
14,6,28,4,9,1,0,44.44,c Aiden Markram b M Jansen
14,6,26,22,15,3,1,146.67,c B Kumar b M Markande
14,6,29,5,6,0,0,83.33,c Mayank Agarwal b Umran Malik
14,6,30,4,3,1,0,133.33,lbw b M Markande
14,6,31,1,2,0,0,50.00,b Umran Malik
14,6,32,0,8,0,0,0.00,lbw b M Markande
14,6,27,0,5,0,0,0.00,b M Markande
14,6,140,1,2,0,0,50.00,Not out
14,8,69,13,14,3,0,92.86,b Arshdeep Singh
14,8,68,21,20,3,0,105.00,c Sam Curran b RD Chahar
14,8,67,74,48,10,3,154.17,Not out
14,8,121,37,21,6,0,176.19,Not out
15,4,90,61,44,4,4,138.64,c MP Stoinis b A Mishra
15,4,91,79,46,5,5,171.74,Not out
15,4,92,59,29,3,6,203.45,b Mark Wood
15,4,89,1,1,0,0,100.00,Not out
15,3,51,0,3,0,0,0.00,b Mohammed Siraj
15,3,45,18,20,1,0,90.00,c Virat Kohli b Mohammed Siraj
